Champion,Skin Name,Skin ID,Has Chromas,Image URL
Evelynn,Prestige K/DA Evelynn (2022),28031,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Evelynn_31.jpg
Evelynn,Spirit Blossom Evelynn,28032,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Evelynn_32.jpg
Evelynn,Soul Fighter Evelynn,28042,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Evelynn_42.jpg
Evelynn,High Noon Evelynn,28052,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Evelynn_52.jpg
Evelynn,Prestige High Noon Evelynn,28053,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Evelynn_53.jpg
Ezreal,default,81000,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_0.jpg
Ezreal,Nottingham Ezreal,81001,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_1.jpg
Ezreal,Striker Ezreal,81002,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_2.jpg
Ezreal,Frosted Ezreal,81003,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_3.jpg
Ezreal,Explorer Ezreal,81004,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_4.jpg
Ezreal,Pulsefire Ezreal,81005,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_5.jpg
Ezreal,TPA Ezreal,81006,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_6.jpg
Ezreal,Debonair Ezreal,81007,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_7.jpg
Ezreal,Ace of Spades Ezreal,81008,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_8.jpg
Ezreal,Arcade Ezreal,81009,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_9.jpg
Ezreal,Star Guardian Ezreal,81018,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_18.jpg
Ezreal,SSG Ezreal,81019,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_19.jpg
Ezreal,Pajama Guardian Ezreal,81020,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_20.jpg
Ezreal,Battle Academia Ezreal,81021,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_21.jpg
Ezreal,PsyOps Ezreal,81022,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_22.jpg
Ezreal,Prestige PsyOps Ezreal,81023,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_23.jpg
Ezreal,Porcelain Protector Ezreal,81025,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_25.jpg
Ezreal,Faerie Court Ezreal,81033,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_33.jpg
Ezreal,HEARTSTEEL Ezreal,81043,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_43.jpg
Ezreal,Heavenscale Ezreal,81044,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_44.jpg
Ezreal,Prestige Heavenscale Ezreal,81054,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_54.jpg
Fiddlesticks,default,9000,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_0.jpg
Fiddlesticks,Spectral Fiddlesticks,9001,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_1.jpg
Fiddlesticks,Union Jack Fiddlesticks,9002,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_2.jpg
Fiddlesticks,Bandito Fiddlesticks,9003,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_3.jpg
Fiddlesticks,Pumpkinhead Fiddlesticks,9004,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_4.jpg
Fiddlesticks,Fiddle Me Timbers,9005,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_5.jpg
Fiddlesticks,Surprise Party Fiddlesticks,9006,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_6.jpg
Fiddlesticks,Dark Candy Fiddlesticks,9007,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_7.jpg
Fiddlesticks,Risen Fiddlesticks,9008,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_8.jpg
Fiddlesticks,Praetorian Fiddlesticks,9009,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_9.jpg
Fiddlesticks,Star Nemesis Fiddlesticks,9027,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_27.jpg
Fiddlesticks,Blood Moon Fiddlesticks,9037,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_37.jpg
Fiora,default,114000,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_0.jpg
Fiora,Royal Guard Fiora,114001,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_1.jpg
Fiora,Nightraven Fiora,114002,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_2.jpg
Fiora,Headmistress Fiora,114003,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_3.jpg
Fiora,PROJECT: Fiora,114004,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_4.jpg
Fiora,Pool Party Fiora,114005,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_5.jpg
Fiora,Soaring Sword Fiora,114022,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_22.jpg
Fiora,Heartpiercer Fiora,114023,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_23.jpg
Fiora,iG Fiora,114031,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_31.jpg
Fiora,Pulsefire Fiora,114041,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_41.jpg
Fiora,Lunar Beast Fiora,114050,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_50.jpg
Fiora,Prestige Lunar Beast Fiora,114051,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_51.jpg
Fiora,Bewitching Fiora,114060,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_60.jpg
Fiora,Faerie Court Fiora,114069,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_69.jpg
Fiora,Dragonmancer Fiora,114080,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_80.jpg
Fiora,Battle Queen Fiora,114089,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_89.jpg
Fizz,default,105000,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_0.jpg
Fizz,Atlantean Fizz,105001,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_1.jpg
Fizz,Tundra Fizz,105002,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_2.jpg
Fizz,Fisherman Fizz,105003,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_3.jpg
Fizz,Void Fizz,105004,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_4.jpg
Fizz,Cottontail Fizz,105008,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_8.jpg
Fizz,Super Galaxy Fizz,105009,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_9.jpg
Fizz,Omega Squad Fizz,105010,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_10.jpg
Fizz,Fuzz Fizz,105014,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_14.jpg
Fizz,Prestige Fuzz Fizz,105015,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_15.jpg
Fizz,Little Devil Fizz,105016,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_16.jpg
Fizz,Prestige Fuzz Fizz (2022),105025,False,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_25.jpg
Fizz,Astronaut Fizz,105026,True,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_26.jpg
